Exp,Cocatalyst 1,Semiconductor 1,Semiconductor 2,Semiconductor 3,Semiconductor 1 %,Semiconductor 2 %,Co-Catalyst wt,Form,Structure,Light,Light Source,Power (W),Filter (nm),Photocatalyst load (g/L),Preparation of Semiconductor,Semiconductor Calcination Temp©,Semiconductor Calcination Time (h),Preparation of Photocatalyst,Photocatalyst Calcination Temp ©,Photocatalyst Calcination Time (h),Glycerol Concentration (v%),Solution Volume (ml),pH,Reaction Temp (C),Bandgap (eV),H2vproduction rate(micromol/g.h),Reference
1,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,0.38,hydrothermal,,0,sol-gel,400,3,5,130,,25,,8598.80,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
2,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,0.77,hydrothermal,,0,sol-gel,400,3,5,130,,25,,8886.20,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
3,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,,25,,11647.00,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
4,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,1.54,hydrothermal,,0,sol-gel,400,3,5,130,,25,,7856.30,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
5,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,2,25,,115.00,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
6,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,4,25,,3605.20,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
7,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,7,25,,11647.00,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
8,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,8,25,,659.20,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
9,Ag,TiO2,g-C3N4,,50,10,3,nanocomposite,anatase,Visible,Xe,35,,1.15,hydrothermal,,0,sol-gel,400,3,5,130,11,25,,1440.00,"Seadira, T. W. P, S. J. Baloyi, C. M. Masuku and M. S. Scurrell, “Solar Photocatalytic Hydrogen Production from Glycerol Reforming Using Ternary Cu/THS/Graphene”, in Conference of the South African Advanced Materials Initiative, Vanderbijlpark, South Africa, 2020. "
10,Ag,TiO2,,,100,,2,hollow sphere,anatase,Visible,,,,2,hydrothermal,,0,Impregnation,450,5,5,50,,25,2.4,6370.00,"Seadira, T. W. P., G. Sadanandam, T. Ntho, C. M. Masuku and M. S. Scurrell, “Preparation and Characterization of Metals Supported on Nanostructured TiO2 Hollow Spheres for Production of Hydrogen via Photocatalytic Reforming of Glycerol”, Applied Catalysis B: Environmental, Vol. 222, pp. 133-145, 2018."
